_permit_type,work_description,address,permit_,_permit_type(2),work_description(2),address(2),permit_(2),b_ward
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY FRAME RESIDENCE,1753 W School St,100514838,PERMIT - NEW CONSTRUCTION,"ERECT A 2 STORY ,IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND 2 CAR GARAGE",1753 W School St,100508114,47
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME HOUSE.,1753 W Wabansia Ave,100511186,PERMIT - NEW CONSTRUCTION,NEW SINGLE FAMILY RESIDENCE-  2 STORY IIIB CONSTRUCTION HOUSE WITH BASEMENT AND NEW MASONRY GARAGE AS PER PLANS **SELF-CERTIFICATION - CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS & AUDIT**,1753 W Wabansia Ave,100505358,32
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 1 STORY BRICK RESIDENCE,1756 W Fletcher St,100477348,PERMIT - NEW CONSTRUCTION,"ERECT TWO STORY FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT, AND DETACHED FRAME 2 CAR GARAGE WITH ROOF DECK, PER PLANS.",1756 W Fletcher St,100478792,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY HOUSE WITH DETACHED GARAGE.,1759 N Whipple St,100461161,PERMIT - NEW CONSTRUCTION,SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME GARAGE (4A CONSTRUCTION) AS PER PLAN.,1759 N Whipple St,100493093,26
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY BRICK COACH HOUSE,1800 N Mohawk St,100455261,PERMIT - NEW CONSTRUCTION,ERECT A TWO STORY SINGLE FAMILY HOME WITH DETACHED GARAGE AS PER PLANS.,1800 N Mohawk St,100450156,43
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE FRONT 2 STORY BRICK SINGLE FAMILY RESIDENCE,1800 N Mohawk St,100455256,PERMIT - NEW CONSTRUCTION,ERECT A TWO STORY SINGLE FAMILY HOME WITH DETACHED GARAGE AS PER PLANS.,1800 N Mohawk St,100450156,43
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY BRICK RESIDENCE AND DETACHED FRAME GARAGE.,1806 N Wolcott Ave,100493029,PERMIT - NEW CONSTRUCTION,SELF CERT: NEW TWO STORY SINGLE FAMILY RESIDENCE + 2 CAR DETACHED GARAGE WITH ROOF DECK. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,1806 N Wolcott Ave,100496294,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE 1 STORY FRAME RESIDENCE,1813 W Ohio St,100454437,PERMIT - NEW CONSTRUCTION,ERECT NEW TWO STORY SINGLE FAMILY RESIDENCE WITH TWO CAR DETACHED GARAGE PER PLANS. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,1813 W Ohio St,100453728,1
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY BRICK HOUSE.,1815 N Mozart St,100538194,PERMIT - NEW CONSTRUCTION,SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETATCHED FRAME 2 CAR GARAGE (4A CONSTRUCTION) WITH ROOF TOP DECK AS PER PLAN.,1815 N Mozart St,100542861,1
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY FRAME RESIDENTIAL BUILDING & GARAGE,1815 W Erie St,100455021,PERMIT - NEW CONSTRUCTION,SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME GARAGE (4A CONSTRUCTION) AS PER PLAN.,1815 W Erie St,100457565,1
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE 2 STORY MASONRY RESIDENCE & 1 STORY FRAME GARAGE,1818 N Wolcott Ave,100526496,PERMIT - NEW CONSTRUCTION,ERECT NEW 2 STORY BRICK/FRAME SINGLE FAMILY RESIDENCE WITH FULL BASEMENT  ERECT NEW DETACHED 2 CAR MASONRY GARAGE WITH ROOF DECK AS PER PLANS**SELF-CERTIFICATION - CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS & AUDIT**,1818 N Wolcott Ave,100524872,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE AN EXISTING 2 STORY FRAME RESIDENCE AND 1 STORY FRAME GARAGE.,1818 W Melrose St,100531087,PERMIT - NEW CONSTRUCTION,"ERECT A 2STORY ,IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT  AND 2 CAR GARAGE WITH ROOF DECK PER PLANS",1818 W Melrose St,100524604,47
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY MULTI UNIT RESIDENCE,1819 W Augusta Blvd,100491924,PERMIT - NEW CONSTRUCTION,"SELF CERTIFICATION REVIEW: ERECT 2 D.U. MASONRY BUILDING (3B CONSTRUCTION) WITH ROOF TOP DECK, DETACHED 2 CAR MASONRY GARAGE WITH ROOF TOP DECK (3B CONSTRUCTION) AS PER PLAN.",1819 W Augusta Blvd,100493251,1
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 1 STORY COACH HOUSE,1819 W Roscoe St,100527667,PERMIT - NEW CONSTRUCTION,"ERECT A 2 STORY , IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND 2 CAR GARAGE WITH ROOF DECK PER PLANS",1819 W Roscoe St,100523763,47
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY FRAME RESIDENCE,1819 W Roscoe St,100527666,PERMIT - NEW CONSTRUCTION,"ERECT A 2 STORY , IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND 2 CAR GARAGE WITH ROOF DECK PER PLANS",1819 W Roscoe St,100523763,47
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 1 STORY MASONRY RESIDENCE,1820 W Haddon Ave,100530204,PERMIT - NEW CONSTRUCTION,SELF CERT ERECT 2 UNIT 3 STORY RESIDENTIAL BLDG WITH 4 CAR DETACHED GARAGE PER PLANS **SELF CERT CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS **,1820 W Haddon Ave,100530339,1
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 1 STORY FRAME RESIDENCE & 1 STORY FRAME GARAGE,1823 W Cortland St,100475122,PERMIT - NEW CONSTRUCTION,SELF-CERTIFICATION NEW CONSTRUCTION 2-STORY SINGLE FAMILY RESIDENCE W/ DETACHED GARAGE,1823 W Cortland St,100471397,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE 1 STORY FRAME RESIDENCE AND DETACHED FRAME GARAGE,1824 W Nelson St,100475972,PERMIT - NEW CONSTRUCTION,NEW FRAME 2 STORY W/ BSMT Single Family Residence with WOOD PORCH & WOOD DECK & NEW FRAME GARAGE W/ ROOF DECK PER PLANS,1824 W Nelson St,100475225,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME HOUSE WITH DETACHED FRAME GARAGE.,1833 N Fairfield Ave,100511184,PERMIT - NEW CONSTRUCTION,SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME GARAGE (4A CONSTRUCTION) AS PER PLAN.,1833 N Fairfield Ave,100511370,1
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY MULTI FAMILY FRAME RESIDENCE & GARAGE.,1833 W Addison St,100528362,PERMIT - NEW CONSTRUCTION,"ERECT A 3 STORY, IIIB MASONRY 4 UNIT APARTMENT  BUILDING WITH  BASEMENT AND  4 CAR PARKING",1833 W Addison St,100496144,47
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME RESIDENCE AND DETACHED FRAME GARAGE.,1834 W Farragut Ave,100509536,PERMIT - NEW CONSTRUCTION,SELF-CERTIFICATION OF A NEW WOOD FRAME TWO STORY WITH BASEMENT SINGLE FAMILY RESIDENCE.  CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,1834 W Farragut Ave,100510284,40
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE AN EXISTING 2 STORY FRAME RESIDENTIAL BUILDING WITH DETACHED FRAME GARAGE.,1834 W Henderson St,100544762,PERMIT - NEW CONSTRUCTION,"ERECT A 2 STORY , IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND 2 CAR GARAGE WITH ROOF DECK PER PLANS",1834 W Henderson St,100546126,47
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 3 STORY FRAME RESIDENCE & 1 STORY FRAME GARAGE.,1834 W Nelson St,100517400,PERMIT - NEW CONSTRUCTION,"ERECT A 2 STORY ,IVA FRAME SINGLE FAMILY RESIDNCE WITH BASEMENT AND 2 CAR GARAGE WITH ROOF DECK",1834 W Nelson St,100508171,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE AN EXISTING FRAME SINGLE FAMILY HOME.,1835 W Barry Ave,100472601,PERMIT - NEW CONSTRUCTION,NEW SINGLE FAMILY RESIDENCE WITH BASEMENT AND TWO CAR GARAGE WITH ROOF DECK ( ZONING ADJUSMENT),1835 W Barry Ave,100472729,32
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY FRAME COACH HOUSE,1838 N Hudson Ave,100466357,PERMIT - NEW CONSTRUCTION,**SELF CERTIFICATION** ERECT A THREE STORY SINGLE FAMILY RESIDENCE WITH DETACHED GARAGE AS PER PLANS. **ADIMINSTRATIVE ADJUSTMENT APPROVED ON APPLICATION NUMBER 100452982****CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS & AUDIT**,1838 N Hudson Ave,100464742,43
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY FRAME SINGLE FAMILY RESIDENCE,1838 N Hudson Ave,100466364,PERMIT - NEW CONSTRUCTION,**SELF CERTIFICATION** ERECT A THREE STORY SINGLE FAMILY RESIDENCE WITH DETACHED GARAGE AS PER PLANS. **ADIMINSTRATIVE ADJUSTMENT APPROVED ON APPLICATION NUMBER 100452982****CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS & AUDIT**,1838 N Hudson Ave,100464742,43
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SFR.,1839 W Byron St,100516033,PERMIT - NEW CONSTRUCTION,ERECT A 2 STORY IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND 2 CAR GARAGE WITH ROOF DECK PER PLANS,1839 W Byron St,100515563,47
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY  BRICK BUILDING.,1842 W Cuyler Ave,100505608,PERMIT - NEW CONSTRUCTION,SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME GARAGE WITH ROOF TOP DECK (4A CONSTRUCTION) AS PER PLAN. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,1842 W Cuyler Ave,100507783,47
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY MULTI UNIT FRAME RESIDENCE,1843 N Mohawk St,100503281,PERMIT - NEW CONSTRUCTION,ERECT NEW SINGLE FAMILY HOME WITH DETACHED GARAGE AND FENCE PER PLANS,1843 N Mohawk St,100503362,43
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME COACH HOUSE,1843 N Mohawk St,100503282,PERMIT - NEW CONSTRUCTION,ERECT NEW SINGLE FAMILY HOME WITH DETACHED GARAGE AND FENCE PER PLANS,1843 N Mohawk St,100503362,43
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY BRICK RESIDENCE & 1 STORY DETACHED BRICK GARAGE,1843 W Dickens Ave,100493945,PERMIT - NEW CONSTRUCTION,ERECT NEW SINGLE FAMILY RESIDENCE PER PLANS,1843 W Dickens Ave,100493988,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY HOUSE.,1846 W Barry Ave,100531604,PERMIT - NEW CONSTRUCTION,ERECT 2 STORY WITH BASEMENT SINGLE FAMILY RESIDENCE WITH 2 CAR DETACHED  EXISTING FRAME GARAGE TO REMAIN AS PER PLANS.,1846 W Barry Ave,100524651,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY FRAME RESIDENCE AND DETACHED FRAME GARAGE,1847 W Berteau Ave,100532112,PERMIT - NEW CONSTRUCTION,"ERECT A 2 STORY ,IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND DETACHED 2 CAR PRIVATE GARAGE WITH ROOF DECK AND OUTDOOR FIREPLACE PER PLANS",1847 W Berteau Ave,100528583,47
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY FRAME RESIDENCE,1847 W Dickens Ave,100493952,PERMIT - NEW CONSTRUCTION,ERECT NEW 2 STORY FRAME SINGLE FAMILY RESIDENCE WITH FULL BASEMENT AND PRIVATE 2 CAR GARAGE PER APPROVED PLANS,1847 W Dickens Ave,100498302,32
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE BRICK 2 STORY SINGLE FAMILY RESIDENCE & 1 STORY FRAME GARAGE,1851 N Orchard St,100458342,PERMIT - NEW CONSTRUCTION,ERECT NEW 3-STORY SFR WITH DETACHED GARAGE AS PER PLANSZONING ADM. ADJ. FILED UNDER APPLICATION # 100441889********THIS PERMIT WILL BE VOIDED IF THE WRECKING PERMIT IS NOT OBTAINTED WITHIN THIRTY DAYS FROM THE ISSUING DATE OF THIS PERMIT**********,1851 N Orchard St,100446123,43
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME RESIDENCE AND DETACHED FRAME GARAGE,1857 N Orchard St,100517641,PERMIT - NEW CONSTRUCTION,ERECT NEW 3 STORY WITH BASEMENT SFR WITH DETACHED 3-CAR PRIVATE  GARAGE AS PER PLANS,1857 N Orchard St,100503607,43
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY BRICK RESIDENCE AND DETACHED FRAME GARAGE.,1861 N Fremont St,100494197,PERMIT - NEW CONSTRUCTION,**SELF CERT PROJECT** - NEW 3 STORY PLUS BASEMENT AND MECHANICAL PENTHOUSE MASONRY SINGLE FAMILY RESIDENCE WITH DETACHED GARAGE.  (Subject to audit & field inspection),1861 N Fremont St,100481669,43
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY BRICK MULTIUNIT RESIDENCE,1870 N Orchard St,100489462,PERMIT - NEW CONSTRUCTION,ERECT 3-STORY WITH BASEMENT NEW SINGLE FAMILY RESIDENCE WITH AN ATTACHED GARAGE AS PER PLANS,1870 N Orchard St,100488618,43
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME COACH HOUSE,1876 N Burling St,100503279,PERMIT - NEW CONSTRUCTION,ERECT NEW SINGLE FAMILY HOME WITH ATTACHED GARAAGE PER PLANS,1876 N Burling St,100505847,43
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY MULTI UNIT FRAME RESIDENCE,1876 N Burling St,100503280,PERMIT - NEW CONSTRUCTION,ERECT NEW SINGLE FAMILY HOME WITH ATTACHED GARAAGE PER PLANS,1876 N Burling St,100505847,43
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 1 STORY BRICK RESIDENCE & DETACHED GARAGE,1901 W Ohio St,100473797,PERMIT - NEW CONSTRUCTION,SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME EXISTING GARAGE WITH MODIFICATIONS/ROOF TOP DECK (4A CONSTRUCTION) AS PER PLAN.,1901 W Ohio St,100474861,1
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME RESIDENCE,1907 W Patterson Ave,100503902,PERMIT - NEW CONSTRUCTION,"ERECT A NEW TWO STORY 4A FRAME BRICK VENEER SINGLE FAMILY RESIDENCE WITH BASEMENT AND A DETACHED FRAME THREE CAR PRIVATE GARAGE WITH ROOF DECK AND AN OUTDOOR FIREPLACE & 6' x 232 L.F. PRIVACY FENCE AS PER PLANS  **SELF CERT CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS **",1907 W Patterson Ave,100528821,47
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY MASONRY RESIDENCE & GARAGE,1908 N Dayton St,100475570,PERMIT - NEW CONSTRUCTION,"CONSTRUCT NEW THREE STORY SINGLE FAMILY HOME WITH BASEMENT (TYPE IIIB CONSTRUCTION) AND DETACHED GARAGE WITH ROOFTOP TERRACE (TYPE IIIB CONSTRUCTION) AS PER PLANS WITH FIRE SPRINKLER SYSTEM AND 6' HIGH FENCE.******THIS PERMIT WILL BE VOIDED IF THE WRECKING PERMIT IS NOT OBTAINED WITHIN THIRTY DAYS FROM THE ISSUING DATE OF THIS PERMIT******",1908 N Dayton St,100476673,43
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FAMILY & GARAGE.,1908 W Henderson St,100527999,PERMIT - NEW CONSTRUCTION,SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME GARAGE WITH ROOF TOP DECK (4A CONSTRUCTION) AS PER PLAN.*********THIS PERMIT IS VOIDED IF THE WRECKING PERMIT IS NOT OBTAINED WITHIN THIRTY DAYS FROM THE ISSUING DATE OF THIS PERMIT***********,1908 W Henderson St,100528269,32
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 3 STORY BRICK BUILDING,1909 N Bissell St,100475641,PERMIT - NEW CONSTRUCTION,"SELF CERTIFICATION REVIEW: ERECT  3-STORY WITH BASEMENT 3 D.U. MASONRY BUILDING (3B CONSTRUCTION) WITH ROOF TOP DECK, DETACHED 3 CAR MASONRY GARAGE WITH ROOF TOP DECK (3B CONSTRUCTION) AS PER PLAN.",1909 N Bissell St,100502959,43
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE 3 STORY FRAME MULTI UNIT RESIDENCE,1909 N Fremont St,100450033,PERMIT - NEW CONSTRUCTION,!!!  SELF CERTIFIED PERMIT APPLICATION  !!!!NEW 3 STORY WITH BASEMENT AND PENTHOUSE MASONRY SINGLE FAMILY RESIDENCE AND GARAGE,1909 N Fremont St,100456707,43
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 3 STORY MASONRY RESIDENCE & 2 CAR GARAGE.,1909 W Erie St,100491205,PERMIT - NEW CONSTRUCTION,"**SELF CERT PROJECT** - ERECT A NEW 2 STORY FRAME BUILDING SINGLE FAMILY  WITH BASEMENT TYPE 4 A CONSTRUCTION, A NEW 2 CAR DETACHED 19' X 20'-4"" FRAME GARAGE WITH ROOF DECK AS PER PLANS.  (Subject to audit & field inspection)",1909 W Erie St,100491526,1
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME HOUSE WITH DETACHED FRAME GARAGE.,1909 W Fletcher St,100481775,PERMIT - NEW CONSTRUCTION,SELF CERTIFICATION REVIEW: ERECT 2- STORY WITH BASEMENT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 3 CAR FRAME GARAGE (4A CONSTRUCTION) AS PER PLAN.,1909 W Fletcher St,100502924,32
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 1 1/2 STORY FRAME RESIDENCE WITH FULL BSMT,1911 W Cornelia Ave,100487000,PERMIT - NEW CONSTRUCTION,"NEW 2 STORY FRAME SFR W/ BASEMENT, NEW REAR METAL PORCH, AND NEW GARAGE",1911 W Cornelia Ave,100486626,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME BUILDING AND FRAME GARAGE.,1911 W Erie St,100490721,PERMIT - NEW CONSTRUCTION,"ERECT NEW 2 STORY SINGLE FAMILY RSIDENCE WITH BASEMENT TYPE 4A CONSTRUCTION, NEW NON-COMBUSTIBLE METAL DECK, NEW 1 STORY FRAME 2 CAR DETACHED GARAGE 19' X 20'-4"" WITH ROOFTOP DECK  AS PER PLANS.",1911 W Erie St,100488131,1
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE 2 STORY FRAME SINGLE FAMILY RESIDENCE,1915 W Race Ave,100494777,PERMIT - NEW CONSTRUCTION,"ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH ROOF TOP DECK, DETACHED 2 CAR FRAME GARAGE (4A CONSTRUCTION) WITH ROOF TOP DECK AS PER PLAN.**SELF-CERTIFICATION - CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS & AUDIT**",1915 W Race Ave,100496054,1
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE AN EXISTING RESIDENCE AND DETACHED 1 STORY FRAME GARAGE.,1916 W Cuyler Ave,100527578,PERMIT - NEW CONSTRUCTION,"ERECT A TWO STORY , IV A FRAME SINGLE RESIDENCE WITH BASEMENT AND DETACHED 2-CAR GARAGE WITH ROOF DECK AND AN OUTDOOR FIREPLACE",1916 W Cuyler Ave,100532176,47
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 3 STORY HOUSE.,1920 N Honore St,100538874,PERMIT - NEW CONSTRUCTION,"SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH ROOF TOP DECK, DETACHED 2 CAR MASONRY GARAGE WITH ROOF TOP DECK (3B CONSTRUCTION) AS PER PLAN.",1920 N Honore St,100535777,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE 1 STORY FRAME RESIDENCE AND DETACHED FRAME GARAGE.,1920 W Eddy St,100462792,PERMIT - NEW CONSTRUCTION,SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME GARAGE WITH ROOF TOP DECK (4A CONSTRUCTION) AS PER PLAN***********THIS PERMIT WILL BE VOIDED IF THE WRECKING PERMIT IS NOT OBTAINED WITHIN THIRTY DAYS FROM THE ISSUING DATE OF THIS PERMIT*************,1920 W Eddy St,100463577,47
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY MULTI UNIT MASONRY RESIDENCE,1921 N Dayton St,100503275,PERMIT - NEW CONSTRUCTION,**Self Cert Project** -  ERECT NEW SINGLE FAMILY HOME WITH DETACHED GARAGE AND FENCE PER PLANS.   (Subject to audit & field inspection),1921 N Dayton St,100510096,43
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME HOUSE.,1921 N Rockwell St,100539977,PERMIT - NEW CONSTRUCTION,ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH INTERIOR 2 CAR FRAME GARAGE (4A CONSTRUCTION) AS PER PLAN.**SELF-CERTIFICATION - CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS & AUDIT**,1921 N Rockwell St,100541929,1
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY FRAME RESIDENTIAL BUILDING,1921 W Race Ave,100455018,PERMIT - NEW CONSTRUCTION,"SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH ROOF TOP DECK, DETACHED 2 CAR FRAME GARAGE (4A CONSTRUCTION) WITH ROOF TOP DECK AS PER PLAN.",1921 W Race Ave,100459410,1
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 3 STORY FRAME RESIDENCE AND DETACHED MASONRY GARAGE,1922 N Howe St,100533278,PERMIT - NEW CONSTRUCTION,CONSTRUCT THREE STORY SINGLE FAMILY HOME WITH ATTACHED 2-CAR GARAGE AND ROOF DECK AS PER PLANS,1922 N Howe St,100459079,43
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE 2 STORY FRAME SINGLE FAMILY & 1 STORY FRAME GARAGE,1922 W Henderson St,100485895,PERMIT - NEW CONSTRUCTION,SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME GARAGE (4A CONSTRUCTION) WITH ROOF TOP DECK AS PER PLAN.,1922 W Henderson St,100486203,32
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY FRAME RESIDENCE,1923 N Rockwell St,100518134,PERMIT - NEW CONSTRUCTION,SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH ATTACHED 2 CAR FRAME GARAGE (4A CONSTRUCTION) AS PER PLAN.   **SELF CERT CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS **,1923 N Rockwell St,100522448,1
PERMIT - WRECKING/DEMOLITION,DEMO 2 STORY MULTI FAMILY MASON BUILDING.,1923 S Allport St,100550728,PERMIT - NEW CONSTRUCTION,"ERECT NEW 2 STORY, IV-A, 3DU APARTMENT BUILDING W/BASEMENT AS PER PLANS**Self-Certification Project  -  Conditional Permit: Subject to audit & field inspections**",1923 S Allport St,100541899,25
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 3 STORY MASONRY BUILDING & 1 STORY MASONRY GARAGE,1924 N Burling St,100530508,PERMIT - NEW CONSTRUCTION,"SELF CERT- RM-4.5- ERECT A 3 STORY SINGLE FAMILY RESIDENCE WITH BASEMENT, ELEVATOR PENTHOUSE AND AN ATTACHED 2-CAR PRIVATE GARAGE AS PER PLANS.",1924 N Burling St,100528920,43
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY FRAME RESIDENTIAL BUILDING & GARAGE,1925 W Superior St,100455022,PERMIT - NEW CONSTRUCTION,SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME GARAGE (4A CONSTRUCTION) AS PER PLAN.  (Subject to audit & field inspection),1925 W Superior St,100462165,1
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME RESIDENCE & 1 STORY FRAME GARAGE.,1928 W Fletcher St,100517402,PERMIT - NEW CONSTRUCTION,"ERECT A 2 STORY , IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND 2 CAR GARAGE WITH ROOF DECK",1928 W Fletcher St,100508172,32
PERMIT - WRECKING/DEMOLITION,TO WRECK AND REMOVE A FRAME SINGLE FAMIKLY RESIDENCE WITH GARAGE.,1928 W Larchmont Ave,100464392,PERMIT - NEW CONSTRUCTION,"ERECT A 2 STORY ,IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND 2 CAR GARAGE WITH ROOF DECK. ISSUED AS A PROTOTYPE BASED ON PERMIT #100417645 ISSUED ON 3319 N. CLAREMONT.",1928 W Larchmont Ave,100463902,47
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A TWO STORY FRAME RESIDENCE AND DETACHED FRAME GARAGE.,1932 N Francisco Ave,100507601,PERMIT - NEW CONSTRUCTION,***This permit will be voided on 11/18/2013 if Wrecking Permit approval is not obtained                                                                                                                                ***SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME GARAGE (4A CONSTRUCTION) AS PER PLAN.  (Subject to audit & field inspection),1932 N Francisco Ave,100507516,1
