_permit_type,work_description,address,permit_,issue_date,_permit_type(2),work_description(2),address(2),permit_(2),issue_date(2),b_ward,b_communityarea
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 SOTRY BRICK WITH GARAGE,6448 N Fairfield Ave,100106271,05/04/2006,PERMIT - NEW CONSTRUCTION,Erect a 3 story 3B masonry apartment building with basement per plans. PROTOTYPE: 3847 N DAMEN. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,6448 N Fairfield Ave,100105501,05/04/2006,50,20
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY FRAME SFR,5602 S Newland Ave,100103511,05/04/2006,PERMIT - NEW CONSTRUCTION,"Erect 1-Story, III-B Single Family Residence W/Basement. (CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION AND PROCUREMENT OF WRECKING PERMIT WITHIN 30 DAYS OF INTAKE DATE)",5602 S Newland Ave,100100458,04/04/2006,23,53
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SFR & GARAGE,831 W Buckingham Pl,100099426,05/05/2006,PERMIT - NEW CONSTRUCTION,ERECT A 4 STORY 4 UNIT IIIB MASONRY APARMENT BUILDING W/ BASEMENT PER PLANS,831 W Buckingham Pl,100101944,05/09/2006,44,57
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE FRAME 2 FLAT WITH GARAGE.,1618 N Campbell Ave,100098905,05/08/2006,PERMIT - NEW CONSTRUCTION,"erect a new 3 story 3 unit 3b masonry apartment bldg with basement as per plans. CONDITIONAL PERMIT PENDING FIELD VERIFICATION. IN ADDITION, THIS PERMIT WILL BE VOID IF A WRECKING PERMIT IS NOT ON SITE WITHIN 30 DAYS OF THE DATE PRINTED ON THIS PERMIT.",1618 N Campbell Ave,100102395,06/12/2006,1,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A TWO STORY FRAME WITH ATTACHED GARAGE,3128 S Emerald Ave,100103991,05/08/2006,PERMIT - NEW CONSTRUCTION,MASONRY SINGLE FAMILY RESIDENCE WITH BASEMENT AND FRAME GARAGE. CONDITIONAL PERMIT SUBJECT TO INSPECTION & PENDING WRECKING PERMIT BEING ISSUED W/IN 30 DAYS OF THIS PERMIT ISSUANCE.,3128 S Emerald Ave,100106145,04/07/2006,11,58
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A ONE STORY FRAME BUILDING WITH BASEMENT.,3544 N Nagle Ave,100109955,05/08/2006,PERMIT - NEW CONSTRUCTION,"ERECT TWO STORY FRAME SINGLE FAMILY RESIDENCE, PER PLANS CONDITIONAL PERMIT,PENDING WRACKING PERMIT WITHIN 30 DAYS OF  PERMIT ISSUANCE.",3544 N Nagle Ave,100104519,04/28/2006,38,17
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME BUILDING,2543 W Superior St,100098167,05/08/2006,PERMIT - NEW CONSTRUCTION,Erect new 2 story single family frame with brick veneer residence with detached garage with roof deck as per plans. CONDITIONAL PERMIT PENDING FIELD VERIFICATION.,2543 W Superior St,100103695,04/05/2006,26,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE EXISITING STRUCTURE WITH GARAGE.,2546 W Cortland St,100109141,05/10/2006,PERMIT - NEW CONSTRUCTION,ERECT 2 STORY SINGLE FAMILY BRICK VENEER/FRAME RESIDENCE WITH BASEMENT & DETACHED 2 CAR MASONRY GARAGE AS PER PLANS. CONDITIONAL PERMIT PENDING FIELD INSPECTION AND WRECKING PERMIT ISSUED WITHIN 30 DAYS OF THIS PERMIT ISSUANCE.,2546 W Cortland St,100109218,05/05/2006,1,23
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY BRICK SINGLE FAMILY RESIDENCE WITH ATTACHED GARAGE,1153 W Drummond Pl,100103517,05/10/2006,PERMIT - NEW CONSTRUCTION,Erect a new masonry 3 story single family residence with basement with 2 car masonry garage as per plans.  CONDITIONAL PERMIT PENDING FIELD VERIFICATION.,1153 W Drummond Pl,100106636,04/26/2006,43,68
PERMIT - WRECKING/DEMOLITION,WRECK AND REMVOE A  2 STORY FRAME BUILDING,1117 W 17th St,100106447,05/10/2006,PERMIT - NEW CONSTRUCTION,Erect 3 story (3) dwelling unit (3B) building as per plans. CONDITIONAL PERMIT PENDING FIELD INSPECTION AND WRECKING PERMIT ISSUED WITHIN 30 DAYS OF ISSUANCE OF THIS BUILDING PERMIT.,1117 W 17th St,100105651,04/27/2006,25,33
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME SINGLE FAMILY RESIDENCE  W/ GARAGE,2032 W Melrose St,100110425,05/10/2006,PERMIT - NEW CONSTRUCTION,"ERECT NEW 2 STORY WITH BASEMENT SINGLE FAMILY RESIDENT PER ARCHITECTURAL PLANS. CONDITIONAL PERMIT, MUST PROVIDE WRECKING PERMIT WITHIN 30 DAYS.",2032 W Melrose St,100102033,04/11/2006,32,46
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE EXISITING STRUCTURE WITH GARAGE.,1735 N Campbell Ave,100109142,05/10/2006,PERMIT - NEW CONSTRUCTION,"Erect new 2 story masonry single family residence with basement & detached 2 car masonry garage.  Conditional Permit, pending wrecking permit being issued within 30 days of this permit issuance.",1735 N Campbell Ave,100109196,05/05/2006,1,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY BRICK COMMERCIAK RESIDENCE.,2046 W Devon Ave,100110190,05/10/2006,PERMIT - NEW CONSTRUCTION,"ERECT A 3-D.U. MASONRY BUILDING WITH 1ST FLOOR OFFICE, 6' HIGH, LONG WOOD FENCE (PROTOTYPE: 2929 N. LINCOLN).                                                                                                          -CONDITIONAL PERMIT, SUBJECT TO FIELD INSPECTION.",2046 W Devon Ave,100103144,05/03/2006,50,20
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A TWO STORY BRICK RESIDENCE.,3123 S Wells St,100109881,05/11/2006,PERMIT - NEW CONSTRUCTION,ERECT A 3 STORY IIIB MASONRY 3 UNIT APARTMENT BUILDING WITH BASEMENT. (CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION AND PROCUREMENT OF WRECKING PERMIT WITHIN 30 DAYS OF PERMIT ISSUANCE),3123 S Wells St,100107988,04/27/2006,11,35
PERMIT - WRECKING/DEMOLITION,WRECK\REMOVE A 1 STORY BRICK,5435 W Giddings St,100092090,05/11/2006,PERMIT - NEW CONSTRUCTION,Erect single family residence with a detached garage as per plan.,5435 W Giddings St,100103117,03/23/2006,45,15
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY COMMERCIAL BICK BUILDIGN,7162 W Grand Ave,100102895,05/11/2006,PERMIT - NEW CONSTRUCTION,erect 4 story 6D.U+2comm building per plal,7162 W Grand Ave,100109916,05/03/2006,29,18
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME SINGLE FAMILY RESIDENCE.,3148 S Wells St,100109880,05/11/2006,PERMIT - NEW CONSTRUCTION,ERECT A 3 STORY 3B MASONRY 3 UNIT APARTMENT BUILDING WITH BASEMENT PER PLANS.CONDITIONAL PERMIT PENDING WRECKING PERMIT ISSUANCE WITHIN 30 DAYS OF THIS PERMIT AND SUBJECT TO SITE INSPECTION,3148 S Wells St,100109969,05/02/2006,11,35
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE ONE SINGLE STORY FRAME RESIDENCE,2544 W Moffat St,100102995,05/12/2006,PERMIT - NEW CONSTRUCTION,ERECT MASONRY SINGLE FAMILY RESIDENCE WITH DETACHED 2 CAR MASONRY GARAGE.PROTOTYPE 2128 N WINCHESTER Conditional Permit.SUBJECT TO FIELD INSPECTION.,2544 W Moffat St,100098225,05/12/2006,1,23
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SINGLE FAMILY FRAME RESIDENCE.,5037 N Oak Park Ave,100106387,05/12/2006,PERMIT - NEW CONSTRUCTION,Erect new 2 story w/ basement frame SFR and 2 car detached frame garage per plans.,5037 N Oak Park Ave,100110260,05/08/2006,41,36
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 1/2 STORY STORY FRAME BUILDING AND GARAGE.,5329 S Merrimac Ave,100110047,05/12/2006,PERMIT - NEW CONSTRUCTION,"new split level single family residence per plans, 2 car 24'x20' detached garage alley access  (FAST TRACK SUBJECT TO FIELD VERIFICATION CONDITIONAL PERMIT PENDING WRECKING PERMIT BEING ISSUED IN 30 DAYS OF THIS PERMIT ISSUANCE)",5329 S Merrimac Ave,100110716,05/03/2006,23,53
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME  TWO FLAT AND GARAGE.,6058 N Northcott Ave,100088109,05/12/2006,PERMIT - NEW CONSTRUCTION,ERECT 2 STRY; 3B CONSTRUCTION; SFR W/ BASEMENT AND ATTACHED GARAGE AS PER PLANS. (CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION),6058 N Northcott Ave,100112350,05/24/2006,41,36
PERMIT - WRECKING/DEMOLITION,DEMOLITION OF A 1 STORY BRICK COMMERCIAL,3435 W 111th St,100111003,05/15/2006,PERMIT - NEW CONSTRUCTION,erect a 1 story masonry bank with 3 drive-up teller lanes,3435 W 111th St,100100486,07/13/2006,19,73
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SINGLE FAMILY RESIDENCE.,3231 N Octavia Ave,100104620,05/15/2006,PERMIT - NEW CONSTRUCTION,ERECT 2STRY SFR; 4A CONSTRUCTION; W/ BASEMENT AND DETACHED GARAGE AS PER PLANS. (CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION AND PROCUREMENT OF WRECKING PERMIT WITHIN 30 DAYS OF PERMIT ISSUANCE),3231 N Octavia Ave,100108797,05/03/2006,29,17
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 3 SOTRY BRICK BUILDING,3546 N Reta Ave,100109057,05/17/2006,PERMIT - NEW CONSTRUCTION,"erect 8 du's masonry building with detached 3-car masonry garage, 6' height 24' long wood fence, 6' height 3'x11'masonry trash enclosure",3546 N Reta Ave,100080958,06/05/2006,44,57
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SINGLE FAMILY RESIDENCE AND A GARAGE.,927 W 35th St,100104811,05/17/2006,PERMIT - NEW CONSTRUCTION,"ERECT 3 D.U. MASONRY BUILDING WITH 1ST FLOOR OFFICE, 6' HIGH 120' LONG WOOD FENCE, 6' HIGH 7'-6"" x 6'-0"" MASONRY TRASH ENCLOSURE    PROTOTYPE:2929 N. Lincoln).                                                                                                                 -CONDITIONAL PERMIT, SUBJECT TO FIELD INSPECTION",927 W 35th St,100094815,05/22/2006,11,58
PERMIT - WRECKING/DEMOLITION,DEMOLITION OF A 2 STORY 2 UNIT BRICK BUILDING,1508 N Western Ave,100108922,05/17/2006,PERMIT - NEW CONSTRUCTION,"ERECT 5 D.U. MASONRY BUILDING WITH 1ST FLOOR OFFICE; ATTACHED 4 CAR & 1 CAR GARAGE W/ ACCESSIBLE PARKING SAPCE, 6'  HIGH 24'-3"" LONG WOOD FENCE, 6' HIGH 3'-6"" x 3'-0"" MASONRY TRASH ENCLOSURE",1508 N Western Ave,100100377,06/16/2006,1,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME HOUSE ON A SLAB,1337 W Henderson St,100110450,05/18/2006,PERMIT - NEW CONSTRUCTION,NEW 2 STORY WITH BASEMENT SINGLE FAMILY HOME WITH DETACHED GARAGE. CONDITIONAL PERMIT PENDING WRECKING PERMIT BEING ISSUED WITHIN 30 DAYS OF THIS PERMIT ISSUANCE.,1337 W Henderson St,100110949,05/31/2006,44,57
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME REAR HOUSE.,2709 N Mont Clare Ave,100110071,05/18/2006,PERMIT - NEW CONSTRUCTION,erect new 2-story single family masonry residence as per plans.                                                                         -CONDITIONAL PERMIT PENDING FIELD VERIFICATION,2709 N Mont Clare Ave,100119246,07/12/2006,29,18
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY BRICK\FRAME HOUSE WITH FULL BASEMENT AND A DETACHED (2) CAR FRAME GARAGE,1660 N Oakley Ave,100110449,05/18/2006,PERMIT - NEW CONSTRUCTION,Erect 3B MASONRY 2STORY single family home with attached masonry garage. CONDITIONAL PERMIT PENDING WRECKING PERMIT ISSUANCE WITHIN 30 DAYS OF THIS PERMIT AND SUBJECT TO SITE INSPECTION.,1660 N Oakley Ave,100109620,05/10/2006,32,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A RESIDENTIAL BUILDING.,1055 N Wood St,100096786,05/18/2006,PERMIT - NEW CONSTRUCTION,Erect 3 D.U. masonry building with detached 3 car masonry garage. Prototype:1233 N. Cleaver. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,1055 N Wood St,100096624,05/19/2006,1,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 3 STORY FRAME 2 UNIT RESIDENTIAL BUILDING ALSO GARAGE IN REAR OF BUILDING,2632 N Talman Ave,100108455,05/18/2006,PERMIT - NEW CONSTRUCTION,ERECT 2 STRY SFR W/ BASEMENT; 4A CONSTRUCTION; W/ DETACHED GARAGE AS PER PLANS.,2632 N Talman Ave,100115946,07/03/2006,32,23
PERMIT - WRECKING/DEMOLITION,REMOVE EXISTING FOUNDATION ONLY.,5740 N Christiana Ave,100112275,05/22/2006,PERMIT - NEW CONSTRUCTION,"New 2 Story frame with Brick veneer single family Residence with basement and 2 car frame garage as per plans. CONDITIONAL PERMIT PENDING FIELD VERIFICATION. IN ADDITION, THIS PERMIT WILL BE VOID IF A WRECKING PERMIT IS NOT IN THE FIELD WITHIN 30 DAYS OF THE DATE PRINTED ON THIS PERMIT",5740 N Christiana Ave,100102887,04/03/2006,39,13
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A BRICK RESIDENCE AND FRAME GARAGE.,1087 N Hermitage Ave,100100919,05/22/2006,PERMIT - NEW CONSTRUCTION,ERECT 3 D.U. MASONRY BUILDING WITH DETACHED 3 CAR MASONRY GARAGE    PROTOTYPE:1233 N. CLEAVER. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,1087 N Hermitage Ave,100100288,07/18/2006,1,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A  2 1\2 STORY BUILDING WITH GARAGE,1919 W Addison St,100110066,05/22/2006,PERMIT - NEW CONSTRUCTION,New 3 Story + Basement 4-unit Mutli-Family Residential Building with 4-Car Detached Garage Type III-B Construction.,1919 W Addison St,100108068,06/01/2006,47,46
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE SECOND STORY SINGLE FAMILEY RESIDANCE.,1536 N Artesian Ave,100112254,05/23/2006,PERMIT - NEW CONSTRUCTION,ERECT 3 D.U. MASONRY BUILDING WITH DETACHED 3 CAR MASONRY GARAGE CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION,1536 N Artesian Ave,100113879,06/08/2006,1,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE 2 STORY FRAME BUILDING.,2515 N California Ave,100110951,05/23/2006,PERMIT - NEW CONSTRUCTION,"NEW 3-STORY MASONRY COMMERCIAL AND RESIDENTIAL BUILDING.   WORK TO INCLUDE MECHANICAL, ELECTRICAL AND PLUMBING, LANDSCAPING AND NEW TRASH ENCLOSURE AT REAR OF LOT.",2515 N California Ave,100096362,06/20/2006,1,23
PERMIT - WRECKING/DEMOLITION,DEMOLITION OF A 2 STORY FRAME,2617 W Cortez St,100111145,05/23/2006,PERMIT - NEW CONSTRUCTION,ERECT 3 D.U. MASONRY BUILDING WTIH DETACHED 3 CAR MASONRY GARAGE CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION (subject to field verification conditional permit),2617 W Cortez St,100112569,05/26/2006,26,25
PERMIT - WRECKING/DEMOLITION,"WRECK AND REMOVE 2 STORY FRAME COMMERCIAL FRONT BUILDING, AND WRECK AND REMOVE 2 STORY FRAME REAR BUILDING WITH GARAGE.",2620 N Halsted St,100096715,05/23/2006,PERMIT - NEW CONSTRUCTION,"ERECT 3 D.U. MASONRY BUILDING WITH 6'HIGH 7'-6""x6'-0"" MASONRY TRASH ENCLOSURE AND 6' HIGH 61'-10"" LONG WOOD FENCE                  (PROTOTYPE:2929 N. LINCOLN).                                                                                                                  CONDITIONAL PERMIT, SUBJECT TO FIELD INSPECTION",2620 N Halsted St,100098341,05/24/2006,43,68
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY FRAME REAR BUILDING,5622 W Warwick Ave,100109055,05/23/2006,PERMIT - NEW CONSTRUCTION,New construction of a 2 story frame single family residence and detached frame garage. CONDITIONAL PERMIT SUBJECT TO SITE INSPECTION,5622 W Warwick Ave,100109192,05/16/2006,38,15
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 1/2 STORY BRICK,8211 S Wolcott Ave,100106793,05/24/2006,PERMIT - NEW CONSTRUCTION,ERECT A NEW 2 STORY SINGLE FAMILY RESIDENCE WITH BASEMENT PER PLANS,8211 S Wolcott Ave,100113821,06/07/2006,17,70
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY GUARD SHED.,520 S State St,100104699,05/25/2006,PERMIT - NEW CONSTRUCTION,CONSTRUCT NEW 17 STORY 184 DWELLING UNITS WITH 4 STORY PARKING; COMMERCIAL SPACE ON FIRST FLOOR - NEW CONSTRUCTION,520 S State St,100103796,06/23/2006,4,38
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY BRICK BUILDING,1246 N Wolcott Ave,100108225,05/25/2006,PERMIT - NEW CONSTRUCTION,ERECT 2 D.U. MASONRY BUILDING WITH DETACHED 2 CAR MASONRY GARAGE CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION,1246 N Wolcott Ave,100109645,05/12/2006,1,25
PERMIT - WRECKING/DEMOLITION,Demolition of 2 story frame main building.,1937 W Diversey Pkwy,100112996,05/30/2006,PERMIT - NEW CONSTRUCTION,ERECT 24 D.U. 1C BUILDING WITH FIRST FLOOR OFFICE AS PER PLANS.,1937 W Diversey Pkwy,100107804,06/19/2006,32,68
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A ONE AND A HALF STORY FRAME RESIDENCE.,2829 S Loomis St,100105628,05/30/2006,PERMIT - NEW CONSTRUCTION,Erect 2 story masonry single family residence with detached 2 car frame garage. Conditional permit pending field verification and wrecking permit issued within 30 days of this permit issuance.,2829 S Loomis St,100105961,05/02/2006,11,58
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY COMMERICAL BUILDING,2450 W Montrose Ave,100110897,05/30/2006,PERMIT - NEW CONSTRUCTION,"Erect a 4 story mas. bldg. for 9 d.u.s and 2 business w/ attached 14 car mas. garage, fence. The permit is valid as long as they provide a wrecking permit within thirty days from the date of issuing this permit.",2450 W Montrose Ave,100092659,05/05/2006,47,6
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME SINGLE FAMILY RESIDENCE & GARAGE,5107 N Claremont Ave,100103625,05/31/2006,PERMIT - NEW CONSTRUCTION,ERECT 2 STy; 4A CONSTRUCTION; SFR W/ BASEMENT & DETACHED GARAGE INCLUDING ROOF DECK AS PER PLANS. (CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION AND PROCUREMENT OF WRECKING PERMIT WITHIN 30 DAYS OF PERMIT ISSUANCE),5107 N Claremont Ave,100111386,05/15/2006,40,6
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME SINGLE FAMILY,1223 W Roscoe St,100104328,05/31/2006,PERMIT - NEW CONSTRUCTION,"ERECT TWO STORY MASONRY SINGLE FAMILY HOUSE WITH BASEMENT, AND DETACHED GARAGE, AS PER PLANS. CONDITIONAL PERMIT PENDING WRECKING PERMIT ISSUANCE WITHIN 30 DAYS OF THIS PERMIT AND SUBJECT TO SITE INSPECTION.",1223 W Roscoe St,100101765,04/07/2006,44,57
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME SINGLE FAMILY RESIDENCE AND GARAGE.,2055 W Waveland Ave,100111567,05/31/2006,PERMIT - NEW CONSTRUCTION,"new construction masonry sfr + detached masonry garage per plans ""CONDITIONAL PERMIT SUBJECT TO FIELD VERIFICATION""  THIS PERMIT WILL BE VOID IF THE WRECKING PERMIT IS NOT ON SITE WITHIN 30 DAYS FROM THE DATE OF THIS PERMIT",2055 W Waveland Ave,100112816,05/19/2006,47,46
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME RESIDENCE W/GARAGE,2327 W Lunt Ave,100091917,05/31/2006,PERMIT - NEW CONSTRUCTION,erect new single family house frame construction no garage as per plans,2327 W Lunt Ave,100087025,05/18/2006,50,20
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A LARGE FRAME SINGLE FAMILY RESIDENCE AND GARAGE.,1718 W Henderson St,100111570,05/31/2006,PERMIT - NEW CONSTRUCTION,ERECTION OF NEW 2 STORY WITH BASEMENT SINGLE FAMILY RESIDENCE WITH ATTACHED GARAGE PER PLANS,1718 W Henderson St,100120132,06/23/2006,47,57
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME SFR,6532 N Sayre Ave,100074605,06/01/2006,PERMIT - NEW CONSTRUCTION,New single family frame house and frame detached garage. CONDITIONAL PERMIT PENDING WRECKING PERMIT ISSUANCE WITHIN 30 DAYS OF THIS PERMIT ISSUANCE AND SUBJECT TO SITE INSPECTION.,6532 N Sayre Ave,100078261,04/06/2006,41,36
PERMIT - WRECKING/DEMOLITION,COMPLETE DEMOLITION OF A 2 STORY FRAME RESIDENCE,2065 N Kedzie Ave,100112981,06/02/2006,PERMIT - NEW CONSTRUCTION,"NEW 28-UNIT RESIDENTIAL CONDOMINIUM, 3 STORIES PLUS BASEMENT, TYPE 3-B CONSTRUCTION, TRASH ENCLOSURE AND FENCE INCLUDED",2065 N Kedzie Ave,100127507,07/28/2006,32,23
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME SINGLE FAMILY RESIDENCE & GARAGE.,4155 N Oakley Ave,100103626,06/05/2006,PERMIT - NEW CONSTRUCTION,ERECT A FRAME 2 STORY SINGLE FAMILY RESIDENCE WITH BASEMENT AND DETACHED TWO CAR FRAME garage w/roof deck (CONDITIONAL PERMIT PENDING WRACKING PERMIT W/IN 30 DAYS OF PERMIT ISSUANCE.),4155 N Oakley Ave,100111364,05/19/2006,47,46
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A TWO STORY BRICK BUILDING.,6114 N Rockwell St,100100024,06/05/2006,PERMIT - NEW CONSTRUCTION,erect 3 story brick four dwelling unit building with basement and 3 car masonry garage as per plans. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,6114 N Rockwell St,100100570,05/19/2006,40,20
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME SFR AND GARAGE,3723 N Clifton Ave,100109634,06/05/2006,PERMIT - NEW CONSTRUCTION,Three-unit apartment building with 2-car garage (JOB SUBJECT TO FIELD INSPECTION AS PER FAST RACK ),3723 N Clifton Ave,100109235,05/02/2006,44,57
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY SFR,2233 W Berwyn Ave,100102643,06/05/2006,PERMIT - NEW CONSTRUCTION,"Erect new 2 story frame SFR with basement type 4A construction with a new 2 car masonry garage as per plans.  Conditional permit, pending wrecking permit being issued within 30 days of this permit issuance.",2233 W Berwyn Ave,100104854,05/05/2006,40,6
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY FRAME,5222 S Lotus Ave,100056040,06/06/2006,PERMIT - NEW CONSTRUCTION,ERECT SINGLE STORY BRICK WITH FRAME SINGLE FAMILY RESIDENCE,5222 S Lotus Ave,100093190,04/28/2006,14,53
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 SPTRY FRAME SFR WITH DETACHED FRAME GARAGE,6035 N Navarre Ave,100108451,06/06/2006,PERMIT - NEW CONSTRUCTION,"ERECT A TWO STORY BRICK SFR WITH BASEMENT PER PLANS.""CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION""",6035 N Navarre Ave,100112696,06/12/2006,41,36
PERMIT - WRECKING/DEMOLITION,Demoltion of existing three story house and frame garage,2223 W Belden Ave,100114752,06/06/2006,PERMIT - NEW CONSTRUCTION,ERECT 2 STRY W/BASEMENT; 4A; SFR WITH 2 CAR DETACHED GARAGE AS PER PLANS. (CONDITIONAL PERMIT SUBJECT FIELD INSPECTION AND PROCUREMENT OF WRECKING PERMIT WITHIN 30 DAYS OF PERMIT ISSUANCE),2223 W Belden Ave,100109990,05/25/2006,32,23
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE AN EXISTING MCDONALDS RESTAURANT,6125 N Milwaukee Ave,100113694,06/06/2006,PERMIT - NEW CONSTRUCTION,"Erect a one story restaurant (McDonald's) with drive thru as per plans.;P/U on 29Aug2006 by Steve-WSL",6125 N Milwaukee Ave,100102694,06/12/2006,39,36
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVAL OF A TWO (2) STORY BRICK/FRAME SINGLE FAMILY RESIDENCE WITH DETACHED GARAGE,2421 N Racine Ave,100104826,06/06/2006,PERMIT - NEW CONSTRUCTION,Erect a 3 story 3B masonry 6 unit apartment building with basement per plans. NO GARAGE. PROTOTYPE: 1829-31 N. FAIRFIELD.  CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,2421 N Racine Ave,100114973,06/06/2006,43,68
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SINGLE FAMILY FRAME RESIDENCE WITH BASEMENT.,1229 W Norwood St,100103943,06/07/2006,PERMIT - NEW CONSTRUCTION,erect new single family residence as per plans. CONDITIONAL PERMIT PENDING WRECKING PERMIT ISSUANCE WITHIN 30 DAYS OF THIS PERMIT ISSUANCE AND SUBJECT TO SITE INSPECTION,1229 W Norwood St,100103941,05/24/2006,48,76
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A ONE STORY MASONRY / FRAME COMMECIAL BUILDING (STORE),1033 W Belmont Ave,100082383,06/07/2006,PERMIT - NEW CONSTRUCTION,"ERECT NEW 4-STORY MIXED-USE MASONRY BUILDING CONTAINING 6-UNIT, MULTI-DWELLING RESIDENTIAL OVER BUSINESS SPACE AT FIRST FLOOR w/ATTACHED GARAGE & TRASH ENCLOSURE",1033 W Belmont Ave,100095072,06/02/2006,44,57
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SINGLE FAMILY RESIDENCE.,6716 W Dakin St,100109930,06/07/2006,PERMIT - NEW CONSTRUCTION,"New Single Family Residence on existing foundation as per plans.""CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION"" THIS PERMIT WILL BE VOID IF A WRECKING PERMIT IS NOT ON SITE W/IN 30 DAYS FROM THE DATE OF THIS PERMIT IS ISSUED",6716 W Dakin St,100109942,05/11/2006,38,17
PERMIT - WRECKING/DEMOLITION,DEMOLITION OF A 2 STORY BRICK RESIDENTIAL WITH FRAME GARAGE,907 N Damen Ave,100112779,06/07/2006,PERMIT - NEW CONSTRUCTION,"ERECT 4-STRY MIXED USE BUILDING WITH 1ST FLR COMMERCIAL WITH RESIDENTIAL ABOVE; 3DU'S WITH CONCRETE PARKING PAD AS PER PLANS. (CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION)",907 N Damen Ave,100108532,07/10/2006,2,25
